U+0159	ř	c5 99	LATIN SMALL LETTER R WITH CARON
U+015A	Ś	c5 9a	LATIN CAPITAL LETTER S WITH ACUTE ACCENT
U+015B	ś	c5 9b	LATIN SMALL LETTER S WITH ACUTE ACCENT
U+015C	Ŝ	c5 9c	LATIN CAPITAL LETTER S WITH CIRCUMFLEX ACCENT
U+015D	ŝ	c5 9d	LATIN SMALL LETTER S WITH CIRCUMFLEX ACCENT
U+015E	Ş	c5 9e	LATIN CAPITAL LETTER S WITH CEDILLA
U+015F	ş	c5 9f	LATIN SMALL LETTER S WITH CEDILLA
U+0160	Š	c5 a0	LATIN CAPITAL LETTER S WITH CARON
U+0161	š	c5 a1	LATIN SMALL LETTER S WITH CARON
U+0162	Ţ	c5 a2	LATIN CAPITAL LETTER T WITH CEDILLA
U+0163	ţ	c5 a3	LATIN SMALL LETTER T WITH CEDILLA
U+0164	Ť	c5 a4	LATIN CAPITAL LETTER T WITH CARON
U+0165	ť	c5 a5	LATIN SMALL LETTER T WITH CARON
U+0168	Ũ	c5 a8	LATIN CAPITAL LETTER U WITH TILDE
U+0169	ũ	c5 a9	LATIN SMALL LETTER U WITH TILDE
U+016A	Ū	c5 aa	LATIN CAPITAL LETTER U WITH MACRON
U+016B	ū	c5 ab	LATIN SMALL LETTER U WITH MACRON
U+016C	Ŭ	c5 ac	LATIN CAPITAL LETTER U WITH BREVE
U+016D	ŭ	c5 ad	LATIN SMALL LETTER U WITH BREVE
U+016E	Ů	c5 ae	LATIN CAPITAL LETTER U WITH RING ABOVE
U+016F	ů	c5 af	LATIN SMALL LETTER U WITH RING ABOVE
U+0170	Ű	c5 b0	LATIN CAPITAL LETTER U WITH DOUBLE ACUTE ACCENT
U+0171	ű	c5 b1	LATIN SMALL LETTER U WITH DOUBLE ACUTE ACCENT
U+0172	Ų	c5 b2	LATIN CAPITAL LETTER U WITH OGONEK
U+0173	ų	c5 b3	LATIN SMALL LETTER U WITH OGONEK
U+0174	Ŵ	c5 b4	LATIN CAPITAL LETTER W WITH CIRCUMFLEX ACCENT
U+0175	ŵ	c5 b5	LATIN SMALL LETTER W WITH CIRCUMFLEX ACCENT
U+0176	Ŷ	c5 b6	LATIN CAPITAL LETTER Y WITH CIRCUMFLEX ACCENT
U+0177	ŷ	c5 b7	LATIN SMALL LETTER Y WITH CIRCUMFLEX ACCENT
U+0178	Ÿ	c5 b8	LATIN CAPITAL LETTER Y WITH DIAERESIS
U+0179	Ź	c5 b9	LATIN CAPITAL LETTER Z WITH ACUTE ACCENT
U+017A	ź	c5 ba	LATIN SMALL LETTER Z WITH ACUTE ACCENT
U+017B	Ż	c5 bb	LATIN CAPITAL LETTER Z WITH DOT ABOVE
U+017C	ż	c5 bc	LATIN SMALL LETTER Z WITH DOT ABOVE
U+017D	Ž	c5 bd	LATIN CAPITAL LETTER Z WITH CARON
U+017E	ž	c5 be	LATIN SMALL LETTER Z WITH CARON
U+01CD	Ǎ	c7 8d	LATIN CAPITAL LETTER A WITH CARON
U+01CE	ǎ	c7 8e	LATIN SMALL LETTER A WITH CARON
U+01CF	Ǐ	c7 8f	LATIN CAPITAL LETTER I WITH CARON
U+01D0	ǐ	c7 90	LATIN SMALL LETTER I WITH CARON
U+01D1	Ǒ	c7 91	LATIN CAPITAL LETTER O WITH CARON
U+01D2	ǒ	c7 92	LATIN SMALL LETTER O WITH CARON
U+01D3	Ǔ	c7 93	LATIN CAPITAL LETTER U WITH CARON
U+01D4	ǔ	c7 94	LATIN SMALL LETTER U WITH CARON
U+01E2	Ǣ	c7 a2	LATIN CAPITAL LETTER AE WITH MACRON
U+01E3	ǣ	c7 a3	LATIN SMALL LETTER AE WITH MACRON
U+01E6	Ǧ	c7 a6	LATIN CAPITAL LETTER G WITH CARON
U+01E7	ǧ	c7 a7	LATIN SMALL LETTER G WITH CARON
U+01E8	Ǩ	c7 a8	LATIN CAPITAL LETTER K WITH CARON
U+01E9	ǩ	c7 a9	LATIN SMALL LETTER K WITH CARON
U+01EE	Ǯ	c7 ae	LATIN CAPITAL LETTER EZH WITH CARON
U+01EF	ǯ	c7 af	LATIN SMALL LETTER EZH WITH CARON
U+01F0	ǰ	c7 b0	LATIN SMALL LETTER J WITH CARON
U+01F4	Ǵ	c7 b4	LATIN CAPITAL LETTER G WITH ACUTE ACCENT
U+01F5	ǵ	c7 b5	LATIN SMALL LETTER G WITH ACUTE ACCENT
U+01F8	Ǹ	c7 b8	LATIN CAPITAL LETTER N WITH GRAVE ACCENT
U+01F9	ǹ	c7 b9	LATIN SMALL LETTER N WITH GRAVE ACCENT
U+01FC	Ǽ	c7 bc	LATIN CAPITAL LETTER AE WITH ACUTE ACCENT
U+01FD	ǽ	c7 bd	LATIN SMALL LETTER AE WITH ACUTE ACCENT
U+0200	Ȁ	c8 80	LATIN CAPITAL LETTER A WITH DOUBLE GRAVE ACCENT
U+0201	ȁ	c8 81	LATIN SMALL LETTER A WITH DOUBLE GRAVE ACCENT
U+0202	Ȃ	c8 82	LATIN CAPITAL LETTER A WITH INVERTED BREVE
U+0203	ȃ	c8 83	LATIN SMALL LETTER A WITH INVERTED BREVE
U+0204	Ȅ	c8 84	LATIN CAPITAL LETTER E WITH DOUBLE GRAVE ACCENT
